Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code,nom_standard
France,Revonnas,revonnas,REVONNAS,01,Revonnas
France,Reyrieux,reyrieux,REYRIEUX,01,Reyrieux
France,Reyssouze,reyssouze,REYSSOUZE,01,Reyssouze
France,Rignieux-le-Franc,rignieux-le-franc,RIGNIEUX-LE-FRANC,01,Rignieux-le-Franc
France,Romans,romans,ROMANS,01,Romans
France,Rossillon,rossillon,ROSSILLON,01,Rossillon
France,Ruffieu,ruffieu,RUFFIEU,01,Ruffieu
France,Saint-Alban,saint-alban,SAINT-ALBAN,01,Saint-Alban
France,Saint-André-de-Bâgé,saint-andre-de-bage,SAINT-ANDRÉ-DE-BÂGÉ,01,Saint-André-de-Bâgé
France,Saint-André-de-Corcy,saint-andre-de-corcy,SAINT-ANDRÉ-DE-CORCY,01,Saint-André-de-Corcy
France,Saint-André-d'Huiriat,saint-andre-d-huiriat,SAINT-ANDRÉ-D'HUIRIAT,01,Saint-André-d'Huiriat
France,Saint-André-le-Bouchoux,saint-andre-le-bouchoux,SAINT-ANDRÉ-LE-BOUCHOUX,01,Saint-André-le-Bouchoux
France,Saint-André-sur-Vieux-Jonc,saint-andre-sur-vieux-jonc,SAINT-ANDRÉ-SUR-VIEUX-JONC,01,Saint-André-sur-Vieux-Jonc
France,Saint-Bénigne,saint-benigne,SAINT-BÉNIGNE,01,Saint-Bénigne
France,Groslée-Saint-Benoit,groslee-saint-benoit,GROSLÉE-SAINT-BENOIT,01,Groslée-Saint-Benoit
France,Saint-Bernard,saint-bernard,SAINT-BERNARD,01,Saint-Bernard
France,Sainte-Croix,sainte-croix,SAINTE-CROIX,01,Sainte-Croix
France,Saint-Cyr-sur-Menthon,saint-cyr-sur-menthon,SAINT-CYR-SUR-MENTHON,01,Saint-Cyr-sur-Menthon
France,Saint-Denis-lès-Bourg,saint-denis-les-bourg,SAINT-DENIS-LÈS-BOURG,01,Saint-Denis-lès-Bourg
France,Saint-Denis-en-Bugey,saint-denis-en-bugey,SAINT-DENIS-EN-BUGEY,01,Saint-Denis-en-Bugey
France,Saint-Didier-d'Aussiat,saint-didier-d-aussiat,SAINT-DIDIER-D'AUSSIAT,01,Saint-Didier-d'Aussiat
France,Saint-Didier-de-Formans,saint-didier-de-formans,SAINT-DIDIER-DE-FORMANS,01,Saint-Didier-de-Formans
France,Saint-Didier-sur-Chalaronne,saint-didier-sur-chalaronne,SAINT-DIDIER-SUR-CHALARONNE,01,Saint-Didier-sur-Chalaronne
France,Saint-Éloi,saint-eloi,SAINT-ÉLOI,01,Saint-Éloi
France,Saint-Étienne-du-Bois,saint-etienne-du-bois,SAINT-ÉTIENNE-DU-BOIS,01,Saint-Étienne-du-Bois
France,Saint-Étienne-sur-Chalaronne,saint-etienne-sur-chalaronne,SAINT-ÉTIENNE-SUR-CHALARONNE,01,Saint-Étienne-sur-Chalaronne
France,Saint-Étienne-sur-Reyssouze,saint-etienne-sur-reyssouze,SAINT-ÉTIENNE-SUR-REYSSOUZE,01,Saint-Étienne-sur-Reyssouze
France,Sainte-Euphémie,sainte-euphemie,SAINTE-EUPHÉMIE,01,Sainte-Euphémie
France,Saint-Genis-Pouilly,saint-genis-pouilly,SAINT-GENIS-POUILLY,01,Saint-Genis-Pouilly
